movie_id,title,description,release_date,vote_avg,genres,actors,crew,keywords
1452,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",2006-06-28,5.4,"Adventure, Fantasy, Action, Science Fiction","Brandon Routh | Superman / Clark Kent | 0, Kevin Spacey | Lex Luthor | 1, Kate Bosworth | Lois Lane | 2, James Marsden | Richard White | 3, Parker Posey | Kitty Kowalski | 4","Jon Peters | Producer, Bryan Singer | Director, Bryan Singer | Producer, Gilbert Adler | Producer","saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor"
10764,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008-10-30,6.1,"Adventure, Action, Thriller, Crime","Daniel Craig | James Bond | 0, Olga Kurylenko | Camille Montes | 1, Mathieu Amalric | Dominic Greene | 2, Judi Dench | M | 3, Giancarlo Giannini | René Mathis | 4","Barbara Broccoli | Producer, Marc Forster | Director, Michael G. Wilson | Producer","killing, undercover, secret agent, british secret service"
58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",2006-06-20,7.0,"Adventure, Fantasy, Action","Johnny Depp | Captain Jack Sparrow | 0, Orlando Bloom | Will Turner | 1, Keira Knightley | Elizabeth Swann | 2, Stellan Skarsgård | William ""Bootstrap Bill"" Turner | 3, Bill Nighy | Captain Davy Jones | 4","Jerry Bruckheimer | Producer, Gore Verbinski | Director, Peter Kohn | Producer, Pat Sandston | Producer","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger"
57201,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2013-07-03,5.9,"Adventure, Action, Western","Johnny Depp | Tonto | 0, Armie Hammer | John Reid / The Lone Ranger | 1, William Fichtner | Butch Cavendish | 2, Helena Bonham Carter | Red Harrington | 3, James Badge Dale | Dan Reid | 4","Jerry Bruckheimer | Producer, Gore Verbinski | Director, Gore Verbinski | Producer","texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto"
49521,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013-06-12,6.5,"Adventure, Fantasy, Action, Science Fiction","Henry Cavill | Clark Kent / Kal-El | 0, Amy Adams | Lois Lane | 1, Michael Shannon | General Zod | 2, Kevin Costner | Jonathan Kent | 3, Diane Lane | Martha Kent | 4","Charles Roven | Producer, Christopher Nolan | Producer, Emma Thomas | Producer, Zack Snyder | Director, Deborah Snyder | Producer","saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe"
2454,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",2008-05-15,6.3,"Adventure, Fantasy, Family","Ben Barnes | Prince Caspian | 0, William Moseley | Peter Pevensie | 1, Anna Popplewell | Susan Pevensie | 2, Skandar Keynes | Edmund Pevensie | 3, Georgie Henley | Lucy Pevensie | 4","Mark Johnson | Producer, Andrew Adamson | Director, Andrew Adamson | Producer, Philip Steuer | Producer","based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world"
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,7.4,"Adventure, Action, Science Fiction","Robert Downey Jr. | Tony Stark / Iron Man | 0, Chris Evans | Steve Rogers / Captain America | 1, Mark Ruffalo | Bruce Banner / The Hulk | 2, Chris Hemsworth | Thor Odinson | 3, Scarlett Johansson | Natasha Romanoff / Black Widow | 4","Kevin Feige | Producer, Joss Whedon | Director","new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe"
1865,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011-05-14,6.4,"Adventure, Fantasy, Action","Johnny Depp | Captain Jack Sparrow | 0, Penélope Cruz | Angelica Teach | 1, Ian McShane | Captain Edward ""Blackbeard"" Teach | 2, Kevin McNally | Joshamee Gibbs | 3, Geoffrey Rush | Captain Hector Barbossa | 4","Jerry Bruckheimer | Producer, Rob Marshall | Director","sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d"
41154,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",2012-05-23,6.2,"Action, Comedy, Science Fiction","Will Smith | Agent J | 0, Tommy Lee Jones | Agent K | 1, Josh Brolin | Young Agent K | 2, Michael Stuhlbarg | Griffin | 3, Emma Thompson | Agent O | 4","Walter F. Parkes | Producer, Barry Sonnenfeld | Director, Laurie MacDonald | Producer","time travel, time machine, alien, fictional government agency, seeing the future, changing history"
256924,Danny Collins,An ageing rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.,2015-03-19,6.6,"Drama, Comedy, Music","Al Pacino | Danny Collins | 0, Annette Bening | Mary Sinclair | 1, Jennifer Garner | Samantha Leigh Donnelly | 2, Bobby Cannavale | Tom Donnelly | 3, Christopher Plummer | Frank Grubman | 4",Dan Fogelman | Director,"rock star, middle age"
122917,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014-12-10,7.1,"Adventure, Fantasy, Action","Martin Freeman | Bilbo Baggins | 0, Ian McKellen | Gandalf | 1, Richard Armitage | Thorin Oakenshield | 2, Ken Stott | Balin | 3, Graham McTavish | Dwalin | 4","Peter Jackson | Director, Peter Jackson | Producer, Fran Walsh | Producer, Carolynne Cunningham | Producer, Zane Weiner | Producer","corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery"
1930,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012-06-27,6.5,"Adventure, Fantasy, Action","Andrew Garfield | Peter Parker / Spider-Man | 0, Emma Stone | Gwen Stacy | 1, Rhys Ifans | Dr. Curt Connors / The Lizard | 2, Denis Leary | Captain Stacy | 3, Campbell Scott | Richard Parker | 4","Avi Arad | Producer, Laura Ziskin | Producer, Marc Webb | Director, Matt Tolmach | Producer","loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger"
20662,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010-05-12,6.2,"Adventure, Action","Russell Crowe | Robin Longstride | 0, Cate Blanchett | Marion Loxley | 1, Max von Sydow | Sir Walter Loxley | 2, William Hurt | William Marshal | 3, Mark Strong | Godfrey | 4","Brian Grazer | Producer, Ridley Scott | Director, Ridley Scott | Producer, Russell Crowe | Producer","robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england"
57158,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,7.6,"Adventure, Fantasy","Martin Freeman | Bilbo Baggins | 0, Ian McKellen | Gandalf | 1, Richard Armitage | Thorin Oakenshield | 2, Ken Stott | Balin | 3, Graham McTavish | Dwalin | 4","Peter Jackson | Director, Peter Jackson | Producer, Fran Walsh | Producer, Carolynne Cunningham | Producer, Zane Weiner | Producer","elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery"
2268,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",2007-12-04,5.8,"Adventure, Fantasy","Dakota Blue Richards | Lyra Belacqua | 0, Nicole Kidman | Marisa Coulter | 1, Daniel Craig | Lord Asriel | 2, Sam Elliott | Lee Scoresby | 3, Eva Green | Serafina Pekkala | 4","Chris Weitz | Director, Bill Carraro | Producer, Deborah Forte | Producer","england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel"
254,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2005-12-14,6.6,"Adventure, Drama, Action","Naomi Watts | Ann Darrow | 0, Jack Black | Carl Denham | 1, Adrien Brody | Jack Driscoll | 2, Thomas Kretschmann | Captain Englehorn | 3, Colin Hanks | Preston | 4","Peter Jackson | Director, Peter Jackson | Producer, Fran Walsh | Producer, Jan Blenkin | Producer, Carolynne Cunningham | Producer","film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur"
597,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",1997-11-18,7.5,"Drama, Thriller, Romance","Kate Winslet | Rose DeWitt Bukater | 0, Leonardo DiCaprio | Jack Dawson | 1, Frances Fisher | Ruth Dewitt Bukater | 2, Billy Zane | Caledon 'Cal' Hockley | 3, Kathy Bates | Molly Brown | 4","James Cameron | Director, James Cameron | Producer, Jon Landau | Producer","shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s"
271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016-04-27,7.1,"Adventure, Action, Science Fiction","Chris Evans | Steve Rogers / Captain America | 0, Robert Downey Jr. | Tony Stark / Iron Man | 1, Scarlett Johansson | Natasha Romanoff / Black Widow | 2, Sebastian Stan | Bucky Barnes / Winter Soldier | 3, Anthony Mackie | Sam Wilson / Falcon | 4","Kevin Feige | Producer, Anthony Russo | Director, Joe Russo | Director","civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d"
44833,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",2012-04-11,5.5,"Adventure, Action, Thriller, Science Fiction","Taylor Kitsch | Lieutenant Alex Hopper | 0, Alexander Skarsgård | Commander Stone Hopper | 1, Rihanna | Petty Officer Cora 'Weps' Raikes | 2, Brooklyn Decker | Sam | 3, Tadanobu Asano | Captain Yugi Nagata | 4","Duncan Henderson | Producer, Scott Stuber | Producer, Brian Goldner | Producer, Peter Berg | Director, Peter Berg | Producer, Sarah Aubrey | Producer, Bennett Schneir | Producer","fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri"
135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015-06-09,6.5,"Adventure, Action, Thriller, Science Fiction","Chris Pratt | Owen Grady | 0, Bryce Dallas Howard | Claire Dearing | 1, Irrfan Khan | Simon Masrani | 2, Vincent D'Onofrio | Vic Hoskins | 3, Nick Robinson | Zach Mitchell | 4","Frank Marshall | Producer, Patrick Crowley | Producer, Colin Trevorrow | Director","monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror"
37724,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",2012-10-25,6.9,"Adventure, Action, Thriller","Daniel Craig | James Bond | 0, Judi Dench | M | 1, Javier Bardem | Silva | 2, Ralph Fiennes | Gareth Mallory / M | 3, Naomie Harris | Eve | 4","Sam Mendes | Director, Barbara Broccoli | Producer, Michael G. Wilson | Producer","spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao"
558,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",2004-06-25,6.7,"Adventure, Fantasy, Action","Tobey Maguire | Peter Parker / Spider-Man | 0, Kirsten Dunst | Mary Jane Watson | 1, James Franco | Harry Osborn | 2, Alfred Molina | Dr. Otto Octavius / Doctor Octopus | 3, Rosemary Harris | May Parker | 4","Sam Raimi | Director, Avi Arad | Producer, Laura Ziskin | Producer, Lorne Orleans | Producer","dual identity, love of one's life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villain"
68721,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18,6.8,"Adventure, Action, Science Fiction","Robert Downey Jr. | Tony Stark / Iron Man | 0, Gwyneth Paltrow | Virginia ""Pepper"" Potts | 1, Don Cheadle | Colonel James "" Rhodey"" Rhodes | 2, Guy Pearce | Aldrich Killian / The Mandarin | 3, Rebecca Hall | Maya Hansen | 4","Shane Black | Director, Kevin Feige | Producer","terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis"
12155,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",2010-03-03,6.4,"Adventure, Fantasy, Family","Mia Wasikowska | Alice Kingsleigh | 0, Johnny Depp | The Mad Hatter | 1, Anne Hathaway | The White Queen | 2, Helena Bonham Carter | The Red Queen | 3, Crispin Glover | The Knave of Hearts | 4","Tim Burton | Director, Jennifer Todd | Producer, Suzanne Todd | Producer, Richard D. Zanuck | Producer, Katterli Frauenfelder | Producer, Joe Roth | Producer, Derek Frey | Producer, Tom C. Peitzman | Producer","based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d"
36668,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",2006-05-24,6.3,"Adventure, Action, Thriller, Science Fiction","Hugh Jackman | Logan / Wolverine | 0, Halle Berry | Ororo Munroe / Storm | 1, Ian McKellen | Eric Lehnsherr / Magneto | 2, Patrick Stewart | Charles Xavier / Professor X | 3, Famke Janssen | Jean Grey / Phoenix | 4","Ralph Winter | Producer, Lauren Shuler Donner | Producer, Avi Arad | Producer, Brett Ratner | Director","mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger"
62211,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-20,7.0,"Animation, Family","Billy Crystal | Michael ""Mike"" Wazowski (voice) | 0, John Goodman | James P. ""Sulley"" Sullivan (voice) | 1, Steve Buscemi | Randall Boggs (voice) | 2, Helen Mirren | Dean Hardscrabble (voice) | 3, Noah Johnston | Young Mike (voice) | 4","Kori Rae | Producer, Dan Scanlon | Director","monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger"
8373,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009-06-19,6.0,"Adventure, Action, Science Fiction","Shia LaBeouf | Sam Witwicky | 0, Megan Fox | Mikaela Banes | 1, Josh Duhamel | Captain Lennox | 2, Rainn Wilson | College Professor | 3, Tyrese Gibson | USAF Tech Sergeant Epps | 4","Michael Bay | Director, Don Murphy | Producer, Ian Bryce | Producer, Lorenzo di Bonaventura | Producer, Tom DeSanto | Producer","egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger"
91314,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",2014-06-25,5.8,"Adventure, Action, Science Fiction","Mark Wahlberg | Cade Yeager | 0, Stanley Tucci | Joshua | 1, Kelsey Grammer | Harold Attinger | 2, Nicola Peltz | Tessa Yeager | 3, Jack Reynor | Shane | 4","Michael Bay | Director, Don Murphy | Producer, Ian Bryce | Producer, Lorenzo di Bonaventura | Producer, Tom DeSanto | Producer","sequel, alien, transformers, giant robot, robot, imax, transforming robot"
